1B1010 GREENLD    Greenland                                         
1B1220 CANADA     Canada                                            
1B1610 SP MQEL    St Pierre and Miquelon                            
1B2010 MEXICO     Mexico                                            
1B2050 GUATMAL    Guatemala                                         
1B2080 BELIZE     Belize                                            
1B2110 SALVADR    El Salvador                                       
1B2150 HONDURA    Honduras                                          
1B2190 NICARAG    Nicaragua                                         
1B2230 C RICA     Costa Rica                                        
1B2250 PANAMA     Panama                                            
1B2320 BERMUDA    Bermuda                                           
1B2360 BAHAMAS    Bahamas                                           
1B2390 CUBA       Cuba                                              
1B2410 JAMAICA    Jamaica                                           
1B2430 TURK IS    Turks and Caicos Islands                          
1B2440 CAYMAN     Cayman Islands                                    
1B2450 HAITI      Haiti                                             
1B2470 DOM REP    Dominican Republic                                
1B2481 ANGLLA     Anguilla                                          
1B2482 B VIRGN    British Virgin Islands                            
1B2483 ST K N     St Kitts and Nevis                                
1B2484 ANTIGUA    Antigua and Barbuda                               
1B2485 MONSRAT    Montserrat                                        
1B2486 DOMINCA    Dominica                                          
1B2487 S LUCIA    St Lucia                                          
1B2488 S VN GR    St Vincent and the Grenadines                     
1B2489 GRENADA    Grenada                                           
1B2720 BARBADO    Barbados                                          
1B2740 TRINID     Trinidad and Tobago                               
1B2774 S MAARTEN  Sint Maarten                                      
1B2777 CURACO     Curacao                                           
1B2779 ARUBA      Aruba                                             
1B2831 GUADLPE    Guadeloupe                                        
1B2839 MARTINQ    Martinique                                        
1B3010 COLOMB     Colombia                                          
1B3070 VENEZ      Venezuela                                         
1B3120 GUYANA     Guyana                                            
1B3150 SURINAM    Suriname                                          
1B3170 F GUIAN    French Guiana                                     
1B3310 ECUADOR    Ecuador                                           
1B3330 PERU       Peru                                              
1B3350 BOLIVIA    Bolivia                                           
1B3370 CHILE      Chile                                             
1B3510 BRAZIL     Brazil                                            
1B3530 PARAGUA    Paraguay                                          
1B3550 URUGUAY    Uruguay                                           
1B3570 ARGENT     Argentina                                         
1B3720 FALK IS    Falkland Islands (Islas Malvinas)                 
1B4000 ICELAND    Iceland                                           
1B4010 SWEDEN     Sweden                                            
1B4031 SV JM IS   Svalbard, Jan Mayen Island                        
1B4039 NORWAY     Norway                                            
1B4050 FINLAND    Finland                                           
1B4091 FAROE      Faroe Islands                                     
1B4099 DENMARK    Denmark                                           
1B4120 U KING     United Kingdom                                    
1B4190 IRELAND    Ireland                                           
1B4210 NETHLDS    Netherlands                                       
1B4231 BELGIUM    Belgium                                           
1B4239 LUXMBRG    Luxembourg                                        
1B4271 ANDORRA    Andorra                                           
1B4272 MONACO     Monaco                                            
1B4279 FRANCE     France                                            
1B4280 GERMANY    Germany                                           
1B4330 AUSTRIA    Austria                                           
1B4351 CZECH      Czech Republic                                    
1B4359 SLOVAK     Slovakia                                          
1B4370 HUNGARY    Hungary                                           
1B4411 LICHTEN    Liechtenstein                                     
1B4419 SWITZLD    Switzerland                                       
1B4470 ESTONIA    Estonia                                           
1B4490 LATVIA     Latvia                                            
1B4510 LITHUAN    Lithuania                                         
1B4550 POLAND     Poland                                            
1B4621 RUSSIA     Russia                                            
1B4622 BELAR      Belarus                                           
1B4623 UKRAINE    Ukraine                                           
1B4631 ARMENIA    Armenia                                           
1B4632 AZERBJN    Azerbaijan                                        
1B4633 GEORGIA    Georgia                                           
1B4634 KAZAKHS    Kazakhstan                                        
1B4635 KYRGYZS    Kyrgyzstan                                        
1B4641 MOLDOVA    Moldova                                           
1B4642 TAJIKIS    Tajikistan                                        
1B4643 TURKMEN    Turkmenistan                                      
1B4644 UZBEKIS    Uzbekistan                                        
1B4700 SPAIN      Spain                                             
1B4710 PORTUGL    Portugal                                          
1B4720 GIBRALT    Gibraltar                                         
1B4730 MALTA      Malta                                             
1B4751 SAN MAR    San Marino                                        
1B4752 VAT CTY    Vatican City                                      
1B4759 ITALY      Italy                                             
1B4791 CROATIA    Croatia                                           
1B4792 SLVENIA    Slovenia                                          
1B4793 BOSNIA     Bosnia and Herzegovina                            
1B4794 NMACEDON   North Macedonia                                   
1B4801 SERBIA     Serbia                                            
1B4803 KOSOVO     Kosovo                                            
1B4804 MONTENE    Montenegro                                        
1B4810 ALBANIA    Albania                                           
1B4840 GREECE     Greece                                            
1B4850 ROMANIA    Romania                                           
