Intervention ID,Intervention URL,State Act ID,State Act URL,State Act Title,GTA Evaluation,Implementing Jurisdictions,Implementation Level,Eligible Firm,Intervention Type,Mast Chapter,Affected Sectors,Affected Products,Affected Jurisdictions,Is Horizontal,Date Announced,Date Implemented,Date Removed,Is In Force
73740,https://globaltradealert.org/intervention/73740,38722,https://www.globaltradealert.org/state-act/38722,United States of America: Changes to the Generalized System of Preferences,Red,United States of America,National,all,Import tariff,Tariff measures,"14, 16, 17, 19, 29, 32, 42, 212, 213, 214, 216, 231, 232, 236, 237, 239, 271, 272, 282, 295, 296, 312, 314, 319, 341, 342, 347, 352, 353, 354, 362, 363, 369, 371, 372, 376, 381, 382, 383, 384, 389, 412, 414, 415, 416, 421, 423, 429, 431, 432, 433, 434, 439, 442, 446, 448, 449, 461, 462, 463, 464, 465, 469, 473, 482, 483, 494, 495, 499, 268","30223, 30245, 30246, 30249, 30254, 30255, 30256, 30259, 30271, 30272, 30273, 30279, 30284, 30285, 30289, 30333, 30334, 30339, 30353, 30381, 30392, 30491, 30492, 30493, 30495, 30496, 30497, 30499, 30520, 30563, 30569, 30614, 30760, 30910, 60110, 60120, 60210, 60319, 60390, 60490, 71080, 71159, 71390, 81110, 81120, 90220, 91012, 110610, 120770, 140490, 151550, 160413, 160414, 160416, 160417, 160418, 160419, 160420, 160431, 160510, 160530, 160556, 160558, 170230, 170290, 180690, 190211, 190219, 190220, 190230, 190430, 190590, 200510, 200520, 200559, 200570, 200599, 200791, 200830, 200850, 200899, 200981, 200989, 200990, 210120, 210220, 210310, 210330, 210690, 240491, 281122, 282200, 282590, 283220, 291050, 291090, 291815, 291822, 291830, 292249, 292320, 293141, 293142, 293143, 293144, 293145, 293146, 293147, 293148, 293149, 293151, 293152, 293153, 293154, 293159, 293190, 293890, 294000, 330710, 330749, 360310, 360320, 360330, 360340, 360350, 360360, 360490, 390730, 391231, 391620, 391739, 392043, 392069, 392092, 392112, 392113, 392410, 392520, 392530, 392640, 400911, 400921, 400931, 400941, 401031, 401691, 440910, 440922, 440929, 441210, 441231, 441239, 441241, 441242, 441249, 441291, 441292, 441299, 441410, 441490, 441700, 442011, 442019, 442090, 460193, 460211, 460212, 460290, 570291, 570292, 570299, 570310, 611610, 611699, 611780, 620449, 621600, 621710, 630790, 640590, 640620, 650699, 670100, 670290, 680292, 690911, 690912, 691010, 691110, 691200, 691310, 691390, 691490, 700239, 701399, 701980, 701990, 711319, 711320, 711420, 711620, 711711, 711790, 730711, 730719, 730729, 730793, 731815, 731819, 732010, 732181, 732391, 732393, 732399, 732410, 740829, 741022, 741129, 741220, 741300, 741810, 741820, 760429, 760529, 760711, 761090, 761520, 780110, 790700, 810890, 821000, 821191, 821192, 821193, 821599, 830120, 830160, 830400, 830610, 830621, 830630, 840220, 840410, 840420, 840490, 841181, 841182, 841330, 841391, 841459, 841480, 841490, 841960, 841990, 842211, 844316, 844831, 845012, 845090, 845129, 845710, 845811, 845891, 846039, 846150, 846232, 846233, 846239, 846242, 846251, 846261, 846262, 846263, 846269, 846290, 846610, 846692, 846693, 846694, 846719, 847710, 847720, 847950, 848079, 848120, 848130, 848230, 848340, 848410, 850131, 850132, 850140, 850163, 850171, 850172, 850680, 851030, 851110, 851390, 851420, 851650, 851671, 851810, 853590, 853630, 853650, 853669, 853710, 853720, 853890, 853910, 853921, 853951, 853990, 854310, 854340, 854370, 854419, 860799, 871150, 871680, 890331, 890332, 890333, 890393, 890399, 900130, 900140, 900490, 900640, 901310, 901720, 903120, 903300, 920290, 920510, 920590, 920600, 920710, 920790, 920810, 920890, 920992, 920994, 920999, 940430, 940541, 940542, 940549, 940550, 950611, 950619, 950662, 950691, 950699, 950720, 950730, 950790, 960330, 960390, 960910, 961000, 961310, 961519, 961590",Thailand,False,2019-10-25,2020-04-25,,1
78168,https://globaltradealert.org/intervention/78168,42997,https://www.globaltradealert.org/state-act/42997,"United States of America: Changes to preferential treatment for Niger, the Central African Republic, The Gambia, and Guinea-Bissau",Red,United States of America,National,all,Import tariff,Tariff measures,"266, 271, 282","520931, 610120, 610130, 610220, 610230, 610333, 610342, 610343, 610349, 610432, 610433, 610441, 610442, 610443, 610444, 610451, 610452, 610453, 610459, 610461, 610462, 610463, 610469, 610510, 610520, 610590, 610610, 610620, 610711, 610712, 610791, 610799, 610821, 610822, 610831, 610891, 610892, 610910, 610990, 611011, 611012, 611019, 611020, 611030, 611120, 611130, 611190, 611212, 611300, 611420, 611430, 611529, 611595, 611596, 611691, 611693, 611710, 611780, 620120, 620130, 620140, 620220, 620230, 620240, 620290, 620311, 620319, 620331, 620332, 620333, 620339, 620341, 620342, 620343, 620349, 620431, 620432, 620433, 620441, 620442, 620443, 620444, 620449, 620451, 620452, 620453, 620459, 620461, 620462, 620463, 620469, 620520, 620530, 620590, 620610, 620630, 620640, 620711, 620721, 620722, 620791, 620799, 620821, 620829, 620891, 620920, 620930, 620990, 621040, 621050, 621111, 621132, 621133, 621139, 621142, 621143, 621149, 621210, 621220, 621230, 621290, 621320, 621410, 621420, 621430, 621440, 621490, 621590, 621710, 621790, 630790","Central African Republic, Gambia, Niger",False,2019-12-26,2020-01-01,,1
78169,https://globaltradealert.org/intervention/78169,42997,https://www.globaltradealert.org/state-act/42997,"United States of America: Changes to preferential treatment for Niger, the Central African Republic, The Gambia, and Guinea-Bissau",Green,United States of America,National,all,Import tariff,Tariff measures,"266, 271, 282","520931, 610120, 610130, 610220, 610230, 610333, 610342, 610343, 610349, 610432, 610433, 610441, 610442, 610443, 610444, 610451, 610452, 610453, 610459, 610461, 610462, 610463, 610469, 610510, 610520, 610590, 610610, 610620, 610711, 610712, 610791, 610799, 610821, 610822, 610831, 610891, 610892, 610910, 610990, 611011, 611012, 611019, 611020, 611030, 611120, 611130, 611190, 611212, 611300, 611420, 611430, 611529, 611595, 611596, 611691, 611693, 611710, 611780, 620120, 620130, 620140, 620220, 620230, 620240, 620290, 620311, 620319, 620331, 620332, 620333, 620339, 620341, 620342, 620343, 620349, 620431, 620432, 620433, 620441, 620442, 620443, 620444, 620449, 620451, 620452, 620453, 620459, 620461, 620462, 620463, 620469, 620520, 620530, 620590, 620610, 620630, 620640, 620711, 620721, 620722, 620791, 620799, 620821, 620829, 620891, 620920, 620930, 620990, 621040, 621050, 621111, 621132, 621133, 621139, 621142, 621143, 621149, 621210, 621220, 621230, 621290, 621320, 621410, 621420, 621430, 621440, 621490, 621590, 621710, 621790, 630790","Guinea-Bissau, Niger",False,2019-12-26,2020-01-01,,1
78170,https://globaltradealert.org/intervention/78170,42998,https://www.globaltradealert.org/state-act/42998,United States of America: Reclassification of veterinary antibiotics resulting in the imposition of a lower tariff,Green,United States of America,National,all,Import tariff,Tariff measures,352,293220,"Canada, China, Czechia, France, Germany, Hungary, India, Ireland, Italy, Japan, Netherlands, Romania, Slovakia, Spain, Sweden, Switzerland, United Kingdom",False,2019-12-11,2020-02-10,,1
78171,https://globaltradealert.org/intervention/78171,42999,https://www.globaltradealert.org/state-act/42999,United States of America: Reclassification of kayak seat backs resulting in the imposition of a higher tariff,Red,United States of America,National,all,Import tariff,Tariff measures,271,940490,"Belgium, Canada, China, Republic of Korea, Denmark, Estonia, France, Germany, Hong Kong, India, Indonesia, Italy, Japan, Latvia, Malaysia, Mexico, Netherlands, Norway, Pakistan, Poland, Portugal, Spain, Switzerland, Thailand, Turkiye, Ukraine, United Kingdom, Vietnam",False,2019-12-11,2020-02-10,,1
78172,https://globaltradealert.org/intervention/78172,43000,https://www.globaltradealert.org/state-act/43000,United States of America: Reclassification of hard-sided coolers resulting in the imposition of a higher tariff,Red,United States of America,National,all,Import tariff,Tariff measures,292,420212,"Bangladesh, Cambodia, Canada, China, Dominican Republic, France, Germany, Hong Kong, Hungary, India, Indonesia, Italy, Mexico, Myanmar, Philippines, Spain, Thailand, United Kingdom, Vietnam",False,2019-12-11,2020-02-10,,1
78216,https://globaltradealert.org/intervention/78216,43038,https://www.globaltradealert.org/state-act/43038,United States of America: Reclassification of dumplings resulting in the imposition of a higher tariff on some shipments,Red,United States of America,National,all,Import tariff,Tariff measures,237,190220,"Canada, China, Republic of Korea, Hong Kong, Italy, Japan, Thailand, Vietnam",False,2019-12-26,2020-02-24,,1
78217,https://globaltradealert.org/intervention/78217,43039,https://www.globaltradealert.org/state-act/43039,United States of America: Reclassification of ceramic beads resulting in the imposition of a higher tariff,Red,United States of America,National,all,Import tariff,Tariff measures,372,690919,"Australia, Austria, Canada, China, Republic of Korea, France, Germany, Hong Kong, Hungary, India, Indonesia, Israel, Italy, Japan, Mexico, Poland, South Africa, Sweden, Switzerland, Thailand, United Kingdom",False,2019-12-26,2020-02-24,,1
78218,https://globaltradealert.org/intervention/78218,43040,https://www.globaltradealert.org/state-act/43040,United States of America: Reclassification of wood boxes resulting in the elimination of import tariff,Green,United States of America,National,all,Import tariff,Tariff measures,319,442090,"Canada, China, France, Germany, India, Indonesia, Italy, Mexico, Philippines, Poland, Switzerland, Thailand, Vietnam",False,2019-12-26,2020-02-24,,1
78233,https://globaltradealert.org/intervention/78233,43054,https://www.globaltradealert.org/state-act/43054,United States of America: Reclassification of document holders resulting in the elimination of tariffs,Green,United States of America,National,all,Import tariff,Tariff measures,327,482010,"Brazil, Canada, China, Republic of Korea, Egypt, France, Germany, Hong Kong, India, Indonesia, Italy, Japan, Malaysia, Mexico, Poland, Spain, Sri Lanka, Turkiye, United Kingdom, Vietnam",False,2020-01-02,2020-03-02,,1
78234,https://globaltradealert.org/intervention/78234,43055,https://www.globaltradealert.org/state-act/43055,United States of America: Reclassification of instant noodle soups resulting in the imposition of a lower tariff,Green,United States of America,National,all,Import tariff,Tariff measures,239,210410,"Belgium, Canada, China, Croatia, Republic of Korea, Germany, Guatemala, India, Israel, Italy, Jamaica, Japan, Jordan, Mexico, Philippines, Poland, Spain, Switzerland, Thailand, Vietnam",False,2020-01-02,2020-03-02,,1
78235,https://globaltradealert.org/intervention/78235,43056,https://www.globaltradealert.org/state-act/43056,United States of America: Reclassification of plastic stethoscope covers resulting in the imposition of a tariff,Red,United States of America,National,all,Import tariff,Tariff measures,369,392690,"Argentina, Australia, Austria, Bangladesh, Belgium, Brazil, Cambodia, Canada, China, Colombia, Costa Rica, Czechia, Republic of Korea, Denmark, Dominican Republic, El Salvador, Estonia, Finland, France, Germany, Honduras, Hong Kong, Hungary, India, Indonesia, Ireland, Israel, Italy, Japan, Malaysia, Malta, Mexico, Myanmar, Netherlands, New Zealand, Norway, Pakistan, Panama, Philippines, Poland, Portugal, Republic of Moldova, Romania, Russia, Singapore, Slovakia, Slovenia, South Africa, Spain, Sri Lanka, Sweden, Switzerland, Thailand, Tunisia, Turkiye, United Kingdom, Vietnam",False,2020-01-02,2020-03-20,,1
78467,https://globaltradealert.org/intervention/78467,43229,https://www.globaltradealert.org/state-act/43229,United States of America: Reclassification of pump dispensers resulting in the imposition of a lower tariff,Green,United States of America,National,all,Import tariff,Tariff measures,439,842489,"Australia, Austria, Belgium, Brazil, Canada, Chile, China, Czechia, Republic of Korea, Denmark, France, Germany, Hungary, India, Indonesia, Ireland, Israel, Italy, Japan, Malaysia, Mexico, Netherlands, New Zealand, Philippines, Poland, Spain, Sweden, Switzerland, Thailand, United Kingdom, Vietnam",False,2020-02-05,2020-04-06,,1
78468,https://globaltradealert.org/intervention/78468,43230,https://www.globaltradealert.org/state-act/43230,United States of America: Court decision extends duty-free treatment to HIV drug,Green,United States of America,National,all,Import tariff,Tariff measures,352,293590,"Belgium, Canada, China, Croatia, Republic of Korea, France, Germany, Hungary, India, Ireland, Israel, Italy, Japan, Panama, Poland, Portugal, Singapore, South Africa, Spain, Switzerland, United Kingdom",False,2020-02-06,2020-02-06,,1
78784,https://globaltradealert.org/intervention/78784,43449,https://www.globaltradealert.org/state-act/43449,United States of America: Reclassification of arm sleeves resulting in the imposition of a lower tariff,Green,United States of America,National,all,Import tariff,Tariff measures,271,630790,"Australia, Bahrain, Bangladesh, Cambodia, Canada, China, Czechia, Republic of Korea, Denmark, Dominican Republic, El Salvador, Estonia, France, Germany, Honduras, Hong Kong, Hungary, India, Indonesia, Israel, Italy, Japan, Macedonia, Malaysia, Mexico, Morocco, Myanmar, Nepal, Netherlands, Pakistan, Philippines, Poland, Romania, Saudi Arabia, Singapore, South Africa, Spain, Sri Lanka, Sweden, Thailand, Tunisia, Turkiye, United Kingdom, Vietnam",False,2020-03-11,2020-05-10,,1
78785,https://globaltradealert.org/intervention/78785,43450,https://www.globaltradealert.org/state-act/43450,United States of America: Reclassification of instant noodle soups resulting in the imposition of a lower tariff,Green,United States of America,National,all,Import tariff,Tariff measures,239,210410,"Belgium, Canada, China, Croatia, Republic of Korea, Germany, Guatemala, India, Israel, Italy, Jamaica, Japan, Jordan, Mexico, Philippines, Poland, Spain, Switzerland, Thailand, Vietnam",False,2020-03-11,2020-05-10,,1
78786,https://globaltradealert.org/intervention/78786,43451,https://www.globaltradealert.org/state-act/43451,United States of America: Reclassification of decorative wood nesting boxes resulting in the elimination of a tariff,Green,United States of America,National,all,Import tariff,Tariff measures,319,442090,"Canada, China, France, Germany, India, Indonesia, Italy, Mexico, Philippines, Poland, Switzerland, Thailand, Vietnam",False,2020-03-11,2020-05-10,,1
79198,https://globaltradealert.org/intervention/79198,43733,https://www.globaltradealert.org/state-act/43733,United States of America: Court ruling reduces tariff on keyed entry devices,Green,United States of America,National,all,Import tariff,Tariff measures,429,830241,"Australia, Belgium, Cambodia, Canada, China, Czechia, Republic of Korea, France, Germany, India, Italy, Japan, Malaysia, Mexico, Netherlands, New Zealand, Philippines, Portugal, Spain, Switzerland, Thailand, Turkiye, United Kingdom, Vietnam",False,2020-03-26,2020-03-26,,1
79880,https://globaltradealert.org/intervention/79880,44271,https://www.globaltradealert.org/state-act/44271,United States of America: Reclassification of evaporated creamer resulting in the imposition of a lower tariff,Green,United States of America,National,all,Import tariff,Tariff measures,239,190190,"Belgium, Brazil, Canada, Chile, China, Colombia, Republic of Korea, Denmark, El Salvador, France, Greece, Guatemala, Honduras, India, Israel, Italy, Japan, Malaysia, Mexico, Netherlands, Philippines, Singapore, Spain, Thailand, United Kingdom, Vietnam",False,2020-06-17,2020-08-16,,1
79881,https://globaltradealert.org/intervention/79881,44272,https://www.globaltradealert.org/state-act/44272,United States of America: Reclassification of cordierite pizza stones resulting in the imposition of a higher tariff,Red,United States of America,National,all,Import tariff,Tariff measures,382,711620,"Australia, Brazil, Canada, China, Republic of Korea, France, Germany, Hong Kong, India, Indonesia, Ireland, Italy, Japan, Madagascar, Mexico, Poland, Switzerland, Thailand, United Kingdom, Vietnam",False,2020-06-10,2020-08-09,,1
80137,https://globaltradealert.org/intervention/80137,44446,https://www.globaltradealert.org/state-act/44446,United States of America: Reclassification of fiberboard boxes resulting in the elimination of tariff,Green,United States of America,National,all,Import tariff,Tariff measures,319,442090,"Canada, China, France, Germany, India, Indonesia, Italy, Mexico, Philippines, Poland, Switzerland, Thailand, Vietnam",False,2020-06-24,2020-08-23,,1
80138,https://globaltradealert.org/intervention/80138,44447,https://www.globaltradealert.org/state-act/44447,United States of America: Reclassification of instant coffee mixes resulting in the imposition of a tariff,Red,United States of America,National,all,Import tariff,Tariff measures,239,210112,"Canada, Republic of Korea, France, Indonesia, Ireland, Italy, Malaysia, Mexico, Thailand, Vietnam",False,2020-06-24,2020-08-23,,1
80139,https://globaltradealert.org/intervention/80139,44448,https://www.globaltradealert.org/state-act/44448,United States of America: Reclassification of men’s casual slip-on shoes resulting in the imposition of a lower tariff,Green,United States of America,National,all,Import tariff,Tariff measures,293,640419,"Bangladesh, Brazil, Cambodia, Canada, China, Republic of Korea, Dominican Republic, El Salvador, Ethiopia, France, Germany, Hong Kong, India, Indonesia, Israel, Italy, Mexico, Morocco, Myanmar, New Zealand, Nicaragua, Philippines, Poland, Portugal, Romania, Slovakia, Spain, Switzerland, Thailand, Tunisia, Ukraine, United Kingdom, Vietnam",False,2020-07-01,2020-08-29,,1
80641,https://globaltradealert.org/intervention/80641,44856,https://www.globaltradealert.org/state-act/44856,United States of America: Reimposition (and later removal) of restrictions on non-alloyed unwrought aluminum imported from Canada,Red,United States of America,National,all,Import tariff,Tariff measures,414,760110,Canada,False,2020-08-06,2020-08-16,2020-09-01,0
80693,https://globaltradealert.org/intervention/80693,44896,https://www.globaltradealert.org/state-act/44896,United States of America: Reclassification of canned cod liver resulting in the elimination of tariff,Green,United States of America,National,all,Import tariff,Tariff measures,212,160420,"Canada, China, Republic of Korea, France, Hong Kong, India, Indonesia, Israel, Japan, Malaysia, Morocco, Portugal, Singapore, Spain, Thailand, Vietnam",False,2020-07-29,2020-09-27,,1
