hs6_from,hs6_to,relationship
10121,10121,1:01
10129,10129,1:01
10130,10130,1:01
10190,10190,1:01
10221,10221,1:01
10229,10229,1:01
10231,10231,1:01
10239,10239,1:01
10290,10290,1:01
10310,10310,1:01
10391,10391,1:01
10392,10392,1:01
10410,10410,1:01
10420,10420,1:01
10511,10511,1:01
10512,10512,1:01
10513,10513,1:01
10514,10514,1:01
10515,10515,1:01
10594,10594,1:01
10599,10599,1:01
10611,10611,1:01
10612,10612,1:01
10613,10613,1:01
10614,10614,1:01
10619,10619,1:01
10620,10620,1:01
10631,10631,1:01
10632,10632,1:01
10633,10633,1:01
10639,10639,1:01
10641,10641,1:01
10649,10649,1:01
10690,10690,1:01
20110,20110,1:01
20120,20120,1:01
20130,20130,1:01
20210,20210,1:01
20220,20220,1:01
20230,20230,1:01
20311,20311,1:01
20312,20312,1:01
20319,20319,1:01
20321,20321,1:01
20322,20322,1:01
20329,20329,1:01
20410,20410,1:01
20421,20421,1:01
20422,20422,1:01
20423,20423,1:01
20430,20430,1:01
20441,20441,1:01
20442,20442,1:01
20443,20443,1:01
20450,20450,1:01
20500,20500,1:01
20610,20610,1:01
20621,20621,1:01
20622,20622,1:01
20629,20629,1:01
20630,20630,1:01
20641,20641,1:01
20649,20649,1:01
20680,20680,1:01
20690,20690,1:01
20711,20711,1:01
20712,20712,1:01
20713,20713,1:01
20714,20714,1:01
20724,20724,1:01
20725,20725,1:01
20726,20726,1:01
20727,20727,1:01
20741,20741,1:01
20742,20742,1:01
20743,20743,1:01
20744,20744,1:01
20745,20745,1:01
20751,20751,1:01
20752,20752,1:01
20753,20753,1:01
20754,20754,1:01
20755,20755,1:01
20760,20760,1:01
20810,20810,1:01
20830,20830,1:01
20840,20840,1:01
20850,20850,1:01
20860,20860,1:01
20890,20890,n:1
20910,20910,1:01
20990,20990,1:01
21011,21011,1:01
21012,21012,1:01
21019,21019,1:01
21020,21020,1:01
21091,21091,1:01
21092,21092,1:01
21093,21093,1:01
21099,21099,n:1
30111,30111,1:01
30119,30119,1:01
30191,30191,1:01
30192,30192,1:01
30193,30193,1:n
30193,30199,n:n
30194,30194,1:01
30195,30195,1:01
30199,30199,n:1
30211,30211,n:1
30213,30213,n:1
30214,30214,n:1
30219,30219,n:1
30221,30221,n:1
30222,30222,n:1
30223,30223,n:1
30224,30224,n:1
30229,30229,n:1
30231,30231,n:1
30232,30232,n:1
30233,30233,n:1
30234,30234,n:1
30235,30235,n:1
30236,30236,n:1
30239,30239,n:1
30241,30241,n:1
30242,30242,n:1
30243,30243,n:1
30244,30244,n:1
30245,30245,n:1
30246,30246,n:1
30247,30247,n:1
30249,30289,n:1
30251,30251,n:1
30252,30252,n:1
30253,30253,n:1
30254,30254,n:1
30255,30255,n:1
30256,30256,n:1
30259,30259,n:1
30271,30271,n:1
30272,30272,n:1
30273,30273,n:n
30273,30289,n:n
30274,30274,n:1
30279,30279,n:1
30281,30281,n:1
