hs6_2012,hts8_2012
010121,01012100
010129,01012900
010130,01013000
010190,01019030
010190,01019040
010221,01022100
010229,01022920
010229,01022940
010231,01023100
010239,01023900
010290,01029000
010310,01031000
010391,01039100
010392,01039200
010410,01041000
010420,01042000
010511,01051100
010512,01051200
010513,01051300
010514,01051400
010515,01051500
010594,01059400
010599,01059900
010611,01061100
010612,01061201
010613,01061300
010614,01061400
010619,01061930
010619,01061991
010620,01062000
010631,01063100
010632,01063200
010633,01063300
010639,01063901
010641,01064100
010649,01064900
010690,01069001
020110,02011005
020110,02011010
020110,02011050
020120,02012002
020120,02012004
020120,02012006
020120,02012010
020120,02012030
020120,02012050
020120,02012080
020130,02013002
020130,02013004
020130,02013006
020130,02013010
020130,02013030
020130,02013050
020130,02013080
020210,02021005
020210,02021010
020210,02021050
020220,02022002
020220,02022004
020220,02022006
020220,02022010
020220,02022030
020220,02022050
020220,02022080
020230,02023002
020230,02023004
020230,02023006
020230,02023010
020230,02023030
020230,02023050
020230,02023080
020311,02031100
020312,02031210
020312,02031290
020319,02031920
020319,02031940
020321,02032100
020322,02032210
020322,02032290
020329,02032920
020329,02032940
020410,02041000
020421,02042100
020422,02042220
020422,02042240
020423,02042320
020423,02042340
020430,02043000
020441,02044100
020442,02044220
020442,02044240
020443,02044320
020443,02044340
020450,02045000
020500,02050000
020610,02061000
020621,02062100
020622,02062200
020629,02062900
020630,02063000
020641,02064100
020649,02064900
020680,02068000
020690,02069000
020711,02071100
020712,02071200
020713,02071300
020714,02071400
020724,02072400
020725,02072520
020725,02072540
020726,02072600
020727,02072700
020741,02074100
020742,02074200
020743,02074300
020744,02074400
020745,02074500
020751,02075100
020752,02075200
020753,02075300
020754,02075400
020755,02075500
020760,02076010
020760,02076020
020760,02076030
020760,02076040
020760,02076060
020810,02081000
020830,02083000
020840,02084001
020850,02085000
020860,02086000
020890,02089020
020890,02089025
020890,02089030
020890,02089091
020910,02091000
020990,02099000
021011,02101100
021012,02101200
021019,02101900
021020,02102000
021091,02109100
021092,02109201
021093,02109300
021099,02109920
021099,02109991
030111,03011100
030119,03011900
030191,03019100
030192,03019200
030193,03019301
030194,03019401
030195,03019500
030199,03019902
030211,03021100
030213,03021300
030214,03021400
030219,03021900
030221,03022100
030222,03022200
030223,03022300
030224,03022400
030229,03022901
030231,03023100
030232,03023200
030233,03023300
030234,03023400
030235,03023501
030236,03023600
030239,03023902
030241,03024100
030242,03024200
030243,03024300
030244,03024400
030245,03024511
030245,03024550
030246,03024611
030246,03024650
030247,03024700
030251,03025100
030252,03025200
030253,03025300
030254,03025411
030254,03025450
030255,03025511
030255,03025550
030256,03025611
030256,03025650
030259,03025911
030259,03025950
030271,03027111
030271,03027150
030272,03027211
030272,03027250
030273,03027311
030273,03027350
030274,03027400
030279,03027911
030279,03027950
030281,03028100
030282,03028200
030283,03028300
030284,03028411
030284,03028450
030285,03028511
030285,03028550
030289,03028911
030289,03028950
030290,03029020
030290,03029040
030311,03031100
030312,03031200
030313,03031300
030314,03031400
030319,03031901
030323,03032300
030324,03032400
030325,03032500
030326,03032600
030329,03032901
030331,03033100
030332,03033200
030333,03033300
030334,03033400
030339,03033901
030341,03034100
030342,03034200
030343,03034300
030344,03034400
030345,03034501
030346,03034600
030349,03034902
030351,03035100
030353,03035300
030354,03035400
030355,03035500
030356,03035600
030357,03035700
030363,03036300
030364,03036400
030365,03036500
030366,03036600
030367,03036700
030368,03036800
030369,03036900
030381,03038100
030382,03038200
030383,03038300
030384,03038400
030389,03038900
030390,03039020
030390,03039040
030431,03043100
030432,03043200
030433,03043300
030439,03043900
030441,03044100
030442,03044200
030443,03044300
030444,03044400
030445,03044500
030446,03044600
030449,03044900
030451,03045100
030452,03045200
030453,03045300
030454,03045400
030455,03045500
030459,03045900
030461,03046100
030462,03046200
030463,03046300
030469,03046900
030471,03047110
030471,03047150
030472,03047210
030472,03047250
030473,03047310
030473,03047350
030474,03047410
030474,03047450
030475,03047510
030475,03047550
030479,03047910
030479,03047950
030481,03048110
030481,03048150
030482,03048210
030482,03048250
030483,03048310
030483,03048350
030484,03048400
030485,03048500
030486,03048600
030487,03048700
030489,03048910
030489,03048950
030491,03049110
030491,03049190
030492,03049210
030492,03049290
030493,03049310
030493,03049390
030494,03049410
030494,03049490
030495,03049510
030495,03049590
030499,03049911
030499,03049991
030510,03051020
030510,03051040
030520,03052020
030520,03052040
030531,03053100
030532,03053200
030539,03053920
030539,03053940
030539,03053960
030541,03054100
030542,03054200
030543,03054300
030544,03054400
030549,03054920
030549,03054940
030551,03055100
030559,03055900
030561,03056120
030561,03056140
030562,03056200
030563,03056320
030563,03056340
030563,03056360
030564,03056410
030564,03056450
030569,03056910
030569,03056920
030569,03056930
030569,03056940
030569,03056950
030569,03056960
030571,03057100
030572,03057200
030579,03057900
030611,03061100
030612,03061200
030614,03061420
030614,03061440
030615,03061500
030616,03061600
030617,03061700
030619,03061900
030621,03062100
030622,03062200
030624,03062420
030624,03062440
030625,03062500
030626,03062600
030627,03062700
030629,03062901
030711,03071100
030719,03071900
030721,03072100
030729,03072900
030731,03073100
030739,03073900
030741,03074100
030749,03074900
030751,03075100
030759,03075900
030760,03076000
030771,03077100
030779,03077900
030781,03078100
030789,03078900
030791,03079101
030799,03079901
030811,03081100
030819,03081900
030821,03082100
030829,03082900
030830,03083000
030890,03089000
040110,04011000
040120,04012020
040120,04012040
040140,04014002
040140,04014005
040140,04014025
040150,04015002
040150,04015005
040150,04015025
040150,04015042
040150,04015050
040150,04015075
