hs6,hts8,n_h8,s_h8_in_h6,w8_main,W6
010121,01012100,1,1,32506044,32506044
010129,01012900,1,1,264766935,264766935
010130,01013000,1,1,2544,2544
010190,01019040,1,1,33072,33072
010221,01022100,1,1,2909143,2909143
010229,01022920,2,0.002619757641360917,4646769,1773740031
010229,01022940,2,0.9973802423586391,1769093262,1773740031
010231,01023100,1,1,18821,18821
010239,01023900,1,1,26756170,26756170
010310,01031000,1,1,332759,332759
010391,01039100,1,1,187428440,187428440
010392,01039200,1,1,142797995,142797995
010410,01041000,1,1,266920,266920
010420,01042000,1,1,16562,16562
010511,01051100,1,1,10728467,10728467
010512,01051200,1,1,23123417,23123417
010513,01051300,1,1,1296665,1296665
010514,01051400,1,1,65235,65235
010515,01051500,1,1,63134,63134
010594,01059400,1,1,912375,912375
010599,01059900,1,1,8188933,8188933
010611,01061100,1,1,39844672,39844672
010612,01061201,1,1,20000,20000
010614,01061400,1,1,2159089,2159089
010619,01061991,1,1,21433834,21433834
010620,01062000,1,1,4459139,4459139
010631,01063100,1,1,3551,3551
010632,01063200,1,1,54493,54493
010639,01063901,1,1,906283,906283
010641,01064100,1,1,1234717,1234717
010649,01064900,1,1,14987878,14987878
010690,01069001,1,1,50256238,50256238
020110,02011010,1,1,17940239,17940239
020120,02012004,5,4.579175145207852e-4,110292,240855605
020120,02012010,5,6.005382353464434e-4,144643,240855605
020120,02012030,5,0.02837338163668643,6833888,240855605
020120,02012050,5,0.9565834268212275,230398480,240855605
020120,02012080,5,0.013984735792218745,3368302,240855605
020130,02013002,6,2.591540648998351e-4,322088,1242843712
020130,02013006,6,1.3445777484852415e-4,167110,1242843712
020130,02013010,6,0.004376599364409867,5439429,1242843712
020130,02013030,6,0.015573341855552631,19355230,1242843712
020130,02013050,6,0.9720546729531186,1208112038,1242843712
020130,02013080,6,0.00760177398717048,9447817,1242843712
020210,02021050,1,1,3166,3166
020220,02022010,4,0.28927339151448417,8888277,30726217
020220,02022030,4,0.22424582889589043,6890226,30726217
020220,02022050,4,0.47337421980714384,14544999,30726217
020220,02022080,4,0.01310655978248152,402715,30726217
020230,02023002,6,7.863009865417062e-5,144665,1839817099
020230,02023006,6,2.384878367738227e-4,438774,1839817099
020230,02023010,6,0.0032149739249705714,5914964,1839817099
020230,02023030,6,0.007935497505668089,14599864,1839817099
020230,02023050,6,0.9838591857765966,1810120953,1839817099
020230,02023080,6,0.004673224857336756,8597879,1839817099
020311,02031100,1,1,3217,3217
020312,02031210,2,0.20601706534426176,34253627,166265969
020312,02031290,2,0.7939829346557382,132012342,166265969
020319,02031920,2,0.03379113375062475,16459382,487091736
020319,02031940,2,0.9662088662493753,470632354,487091736
020322,02032210,2,0.02138873735486667,156792,7330587
020322,02032290,2,0.9786112626451333,7173795,7330587
020329,02032920,2,0.004236886625121094,1429220,337327884
020329,02032940,2,0.9957631133748789,335898664,337327884
020410,02041000,1,1,2548,2548
020422,02042220,2,0.9924756830566163,228389320,230120822
020422,02042240,2,0.0075243169433837674,1731502,230120822
020423,02042320,2,0.993337010271084,59307663,59705480
020423,02042340,2,0.006662989728916006,397817,59705480
020430,02043000,1,1,7529959,7529959
020441,02044100,1,1,14677229,14677229
020442,02044220,2,0.8657063056518343,168662011,194825901
020442,02044240,2,0.13429369434816574,26163890,194825901
020443,02044320,2,0.9696901483444343,44378242,45765384
020443,02044340,2,0.0303098516555657,1387142,45765384
020450,02045000,1,1,72109337,72109337
020500,02050000,1,1,1797761,1797761
020610,02061000,1,1,74954351,74954351
020621,02062100,1,1,6087362,6087362
020622,02062200,1,1,594674,594674
020629,02062900,1,1,95771798,95771798
020630,02063000,1,1,10768511,10768511
020641,02064100,1,1,108710,108710
020649,02064900,1,1,15074204,15074204
020680,02068000,1,1,29467,29467
020690,02069000,1,1,5550014,5550014
020711,02071100,1,1,7887035,7887035
020712,02071200,1,1,2080531,2080531
020713,02071300,1,1,37088738,37088738
020714,02071400,1,1,117253856,117253856
020724,02072400,1,1,1264329,1264329
020725,02072540,1,1,105122,105122
020726,02072600,1,1,2060177,2060177
020727,02072700,1,1,22219813,22219813
020741,02074100,1,1,124862,124862
020742,02074200,1,1,2898360,2898360
020743,02074300,1,1,688401,688401
020744,02074400,1,1,887308,887308
020745,02074500,1,1,4556680,4556680
020760,02076020,4,0.21556751215577316,153929,714064
020760,02076030,4,0.07479441618678438,53408,714064
020760,02076040,4,0.12153392413004997,86783,714064
020760,02076060,4,0.5881041475273925,419944,714064
020810,02081000,1,1,3034035,3034035
020850,02085000,1,1,129647,129647
020890,02089020,4,0.3797178913702969,13913967,36642906
020890,02089025,4,0.48324480596598973,17707494,36642906
020890,02089030,4,0.04136959006471812,1515902,36642906
020890,02089091,4,0.09566771259899529,3505543,36642906
020910,02091000,1,1,2591527,2591527
020990,02099000,1,1,873788,873788
021011,02101100,1,1,10339605,10339605
021012,02101200,1,1,57631534,57631534
021019,02101900,1,1,87770511,87770511
021020,02102000,1,1,2175478,2175478
021099,02109920,2,0.889690242962429,676379,760241
021099,02109991,2,0.11030975703757098,83862,760241
030111,03011100,1,1,32547965,32547965
030119,03011900,1,1,6019193,6019193
030191,03019100,1,1,740208,740208
030192,03019200,1,1,1019954,1019954
030193,03019301,1,1,250989,250989
030199,03019902,1,1,10300068,10300068
030211,03021100,1,1,13988965,13988965
030213,03021300,1,1,27292907,27292907
030214,03021400,1,1,569829225,569829225
030219,03021900,1,1,1204863,1204863
030221,03022100,1,1,62421677,62421677
030222,03022200,1,1,18409,18409
030223,03022300,1,1,5382743,5382743
030224,03022400,1,1,885637,885637
030229,03022901,1,1,4521516,4521516
030231,03023100,1,1,3525222,3525222
030232,03023200,1,1,152664011,152664011
030233,03023300,1,1,51488,51488
030234,03023400,1,1,33433036,33433036
030235,03023501,1,1,13323471,13323471
030236,03023600,1,1,130492,130492
030239,03023902,1,1,4941527,4941527
030241,03024100,1,1,706504,706504
030242,03024200,1,1,16300,16300
030243,03024300,1,1,379309,379309
030244,03024400,1,1,427490,427490
030245,03024550,1,1,9347485,9347485
030246,03024611,2,0.15474832066135627,382577,2472253
030246,03024650,2,0.8452516793386438,2089676,2472253
030247,03024700,1,1,46243238,46243238
030251,03025100,1,1,4876862,4876862
030252,03025200,1,1,9597746,9597746
030253,03025300,1,1,19605,19605
030254,03025411,2,0.016344999008405067,182308,11153748
030254,03025450,2,0.983655000991595,10971440,11153748
030255,03025550,1,1,29741,29741
030256,03025650,1,1,5106,5106
030259,03025911,2,0.10484585809488704,132831,1266917
030259,03025950,2,0.895154141905113,1134086,1266917
030271,03027111,2,0.272805187690721,339628,1244947
030271,03027150,2,0.7271948123092791,905319,1244947
030272,03027250,1,1,161331,161331
030273,03027350,1,1,3444,3444
030274,03027400,1,1,670885,670885
030279,03027911,2,0.8296972604311145,159121,191782
030279,03027950,2,0.1703027395688855,32661,191782
030281,03028100,1,1,378921,378921
030282,03028200,1,1,2244,2244
030283,03028300,1,1,2127169,2127169
030284,03028411,2,0.015553753919896817,363896,23396024
030284,03028450,2,0.9844462460801032,23032128,23396024
030285,03028511,2,0.011052589878252651,30829,2789301
030285,03028550,2,0.9889474101217474,2758472,2789301
030289,03028911,2,0.002572289702588996,520306,202273484
030289,03028950,2,0.997427710297411,201753178,202273484
030290,03029020,2,0.018339816106970715,25942,1414518
030290,03029040,2,0.9816601838930293,1388576,1414518
030311,03031100,1,1,2791257,2791257
030312,03031200,1,1,11718510,11718510
030313,03031300,1,1,12375822,12375822
030314,03031400,1,1,2442496,2442496
030319,03031901,1,1,2299669,2299669
030323,03032300,1,1,27661935,27661935
030324,03032400,1,1,1763340,1763340
030325,03032500,1,1,59589,59589
030326,03032600,1,1,2081000,2081000
030329,03032901,1,1,2066443,2066443
030331,03033100,1,1,11138667,11138667
030332,03033200,1,1,253004,253004
030333,03033300,1,1,9817543,9817543
030334,03033400,1,1,156890,156890
030339,03033901,1,1,2836425,2836425
030341,03034100,1,1,2609113,2609113
030342,03034200,1,1,25851429,25851429
030343,03034300,1,1,1162417,1162417
030344,03034400,1,1,1217540,1217540
030345,03034501,1,1,1417726,1417726
030346,03034600,1,1,1161724,1161724
030349,03034902,1,1,782544,782544
030351,03035100,1,1,3885079,3885079
030353,03035300,1,1,2232501,2232501
030354,03035400,1,1,18959857,18959857
030355,03035500,1,1,1415367,1415367
030356,03035600,1,1,67740,67740
030357,03035700,1,1,7474704,7474704
030363,03036300,1,1,2091612,2091612
030364,03036400,1,1,30868287,30868287
030365,03036500,1,1,86020,86020
030366,03036600,1,1,3280103,3280103
030367,03036700,1,1,2324601,2324601
030369,03036900,1,1,1326867,1326867
030381,03038100,1,1,129997,129997
030382,03038200,1,1,72888,72888
030383,03038300,1,1,87866455,87866455
030384,03038400,1,1,2034448,2034448
030389,03038900,1,1,240890613,240890613
030390,03039040,1,1,9518092,9518092
030431,03043100,1,1,146862543,146862543
030432,03043200,1,1,22327284,22327284
030433,03043300,1,1,1379029,1379029
030439,03043900,1,1,607625,607625
030441,03044100,1,1,663334884,663334884
030442,03044200,1,1,34242279,34242279
030443,03044300,1,1,14114816,14114816
030444,03044400,1,1,47851452,47851452
030445,03044500,1,1,131466,131466
030446,03044600,1,1,398651,398651
030449,03044900,1,1,76071427,76071427
030451,03045100,1,1,9608153,9608153
030452,03045200,1,1,71265556,71265556
030453,03045300,1,1,12582889,12582889
030454,03045400,1,1,334900,334900
030455,03045500,1,1,758745,758745
030459,03045900,1,1,104570615,104570615
030461,03046100,1,1,735461345,735461345
030462,03046200,1,1,344553677,344553677
030463,03046300,1,1,10862,10862
030469,03046900,1,1,18169885,18169885
030471,03047110,2,0.08485720168706282,21529085,253709580
030471,03047150,2,0.9151427983129372,232180495,253709580
030472,03047210,2,0.1190205508891944,13700219,115108012
030472,03047250,2,0.8809794491108056,101407793,115108012
030473,03047350,1,1,8103111,8103111
030474,03047410,2,0.06720678489181667,998159,14852057
030474,03047450,2,0.9327932151081834,13853898,14852057
030475,03047510,2,0.46457192086755195,59212659,127456388
030475,03047550,2,0.535428079132448,68243729,127456388
030479,03047910,2,0.4122256514210778,33212153,80567895
030479,03047950,2,0.5877743485789222,47355742,80567895
030481,03048110,2,0.03107342390972176,16284658,524070281
030481,03048150,2,0.9689265760902782,507785623,524070281
030482,03048210,2,0.21197927032930888,4475339,21112154
030482,03048250,2,0.7880207296706911,16636815,21112154
030483,03048310,2,0.11005486588965262,12926789,117457678
030483,03048350,2,0.8899451341103474,104530889,117457678
030484,03048400,1,1,19590613,19590613
030485,03048500,1,1,40223011,40223011
030486,03048600,1,1,291712,291712
030487,03048700,1,1,286870064,286870064
030489,03048910,2,0.04369619337608276,26109596,597525642
030489,03048950,2,0.9563038066239172,571416046,597525642
030491,03049110,2,0.9242747010017138,2987681,3232460
030491,03049190,2,0.07572529899828613,244779,3232460
030492,03049210,2,0.9925449634498126,31419386,31655378
030492,03049290,2,0.00745503655018746,235992,31655378
030493,03049310,1,1,813673,813673
030494,03049410,2,0.9201331781246878,2182428,2371861
030494,03049490,2,0.07986682187531226,189433,2371861
030495,03049510,2,0.9566899976901568,9720796,10160863
030495,03049590,2,0.04331000230984317,440067,10160863
030499,03049911,2,0.5924186747717164,53100269,89633010
030499,03049991,2,0.40758132522828366,36532741,89633010
030510,03051020,2,0.799126284665773,1176763,1472562
030510,03051040,2,0.20087371533422702,295799,1472562
030520,03052020,2,0.011213626038115685,59000,5261456
030520,03052040,2,0.9887863739618843,5202456,5261456
030531,03053100,1,1,8472720,8472720
030532,03053200,1,1,32769885,32769885
030539,03053920,3,0.0067809969512636825,122629,18084214
030539,03053940,3,0.015544496432081594,281110,18084214
030539,03053960,3,0.9776745066166547,17680475,18084214
030541,03054100,1,1,86405867,86405867
030542,03054200,1,1,4557278,4557278
030543,03054300,1,1,629122,629122
030544,03054400,1,1,40471,40471
030549,03054920,2,0.021380296706647196,1124711,52605023
030549,03054940,2,0.9786197032933528,51480312,52605023
030551,03055100,1,1,17211486,17211486
030559,03055900,1,1,18816268,18816268
030561,03056120,2,0.03956184089209781,43123,1090015
030561,03056140,2,0.9604381591079022,1046892,1090015
030562,03056200,1,1,5943513,5943513
030563,03056320,3,0.013313397857316776,52491,3942720
030563,03056340,3,0.6878226199172145,2711892,3942720
030563,03056360,3,0.2988639822254687,1178337,3942720
030564,03056410,2,0.6149068322981367,7425,12075
030564,03056450,2,0.38509316770186336,4650,12075
030569,03056910,6,0.6395973481989645,13482045,21078957
030569,03056920,6,0.08393949472926958,1769357,21078957
030569,03056930,6,0.10836665210712276,2284256,21078957
030569,03056940,6,0.006951245263226259,146525,21078957
030569,03056950,6,0.06809914741037709,1435459,21078957
030569,03056960,6,0.09304611229103983,1961315,21078957
030571,03057100,1,1,773047,773047
030572,03057200,1,1,430910,430910
030579,03057900,1,1,48704,48704
030611,03061100,1,1,219866846,219866846
